"approx","pvalue","zscore"
589,5.89e-07,4.85930254823716
590,5.9e-07,4.85896666026135
591,5.91e-07,4.85863131958463
592,5.92e-07,4.85829652438875
593,5.93e-07,4.85796227286459
594,5.94e-07,4.85762856321206
595,5.95e-07,4.85729539364004
596,5.96e-07,4.85696276236635
597,5.97e-07,4.85663066761767
598,5.98e-07,4.85629910762947
599,5.99e-07,4.85596808064598
600,6e-07,4.85563758492011
601,6.01e-07,4.8553076187134
602,6.02e-07,4.85497818029597
603,6.03e-07,4.85464926794645
604,6.04e-07,4.85432087995192
605,6.05e-07,4.8539930146079
606,6.06e-07,4.85366567021822
607,6.07e-07,4.85333884509504
608,6.08e-07,4.85301253755872
609,6.09e-07,4.85268674593785
610,6.1e-07,4.85236146856914
611,6.11e-07,4.85203670379736
612,6.12e-07,4.85171244997534
613,6.13e-07,4.85138870546387
614,6.14e-07,4.85106546863166
615,6.15e-07,4.85074273785533
616,6.16e-07,4.85042051151927
617,6.17e-07,4.85009878801568
618,6.18e-07,4.84977756574447
619,6.19e-07,4.84945684311324
620,6.2e-07,4.84913661853718
621,6.21e-07,4.8488168904391
622,6.22e-07,4.8484976572493
623,6.23e-07,4.84817891740557
624,6.24e-07,4.84786066935315
625,6.25e-07,4.84754291154465
626,6.26e-07,4.84722564244002
627,6.27e-07,4.84690886050649
628,6.28e-07,4.84659256421854
629,6.29e-07,4.84627675205788
630,6.3e-07,4.84596142251333
631,6.31e-07,4.84564657408084
632,6.32e-07,4.84533220526343
633,6.33e-07,4.84501831457113
634,6.34e-07,4.84470490052095
635,6.35e-07,4.84439196163683
636,6.36e-07,4.8440794964496
637,6.37e-07,4.84376750349695
638,6.38e-07,4.84345598132335
639,6.39e-07,4.84314492848004
640,6.4e-07,4.84283434352499
641,6.41e-07,4.84252422502285
642,6.42e-07,4.84221457154488
643,6.43e-07,4.84190538166896
644,6.44e-07,4.84159665397953
645,6.45e-07,4.84128838706751
646,6.46e-07,4.84098057953034
647,6.47e-07,4.84067322997187
648,6.48e-07,4.84036633700233
649,6.49e-07,4.84005989923834
650,6.5e-07,4.83975391530283
651,6.51e-07,4.83944838382498
652,6.52e-07,4.83914330344025
653,6.53e-07,4.83883867279028
654,6.54e-07,4.83853449052287
655,6.55e-07,4.83823075529198
656,6.56e-07,4.83792746575762
657,6.57e-07,4.83762462058588
658,6.58e-07,4.83732221844886
659,6.59e-07,4.83702025802465
660,6.6e-07,4.83671873799726
661,6.61e-07,4.83641765705665
662,6.62e-07,4.8361170138986
663,6.63e-07,4.83581680722479
664,6.64e-07,4.83551703574266
665,6.65e-07,4.83521769816542
666,6.66e-07,4.83491879321205
667,6.67e-07,4.8346203196072
668,6.68e-07,4.8343222760812
669,6.69e-07,4.83402466137
670,6.7e-07,4.83372747421516
671,6.71e-07,4.83343071336382
672,6.72e-07,4.83313437756862
673,6.73e-07,4.83283846558773
674,6.74e-07,4.83254297618479
675,6.75e-07,4.83224790812885
676,6.76e-07,4.83195326019439
677,6.77e-07,4.83165903116126
678,6.78e-07,4.83136521981464
679,6.79e-07,4.83107182494502
680,6.8e-07,4.83077884534819
681,6.81e-07,4.83048627982516
682,6.82e-07,4.83019412718219
683,6.83e-07,4.8299023862307
684,6.84e-07,4.82961105578728
685,6.85e-07,4.82932013467364
686,6.86e-07,4.82902962171661
687,6.87e-07,4.82873951574806
688,6.88e-07,4.82844981560491
689,6.89e-07,4.82816052012911
690,6.9e-07,4.82787162816756
691,6.91e-07,4.82758313857212
692,6.92e-07,4.8272950501996
693,6.93e-07,4.82700736191168
694,6.94e-07,4.82672007257492
695,6.95e-07,4.82643318106071
696,6.96e-07,4.82614668624526
697,6.97e-07,4.82586058700957
698,6.98e-07,4.8255748822394
699,6.99e-07,4.82528957082521
700,7e-07,4.82500465166222
701,7.01e-07,4.82472012365027
702,7.02e-07,4.8244359856939
703,7.03e-07,4.82415223670224
704,7.04e-07,4.82386887558903
705,7.05e-07,4.8235859012726
706,7.06e-07,4.8233033126758
707,7.07e-07,4.82302110872602
708,7.08e-07,4.82273928835513
709,7.09e-07,4.8224578504995
710,7.1e-07,4.82217679409992
711,7.11e-07,4.82189611810161
712,7.12e-07,4.82161582145418
713,7.13e-07,4.82133590311163
714,7.14e-07,4.8210563620323
715,7.15e-07,4.82077719717884
716,7.16e-07,4.82049840751822
717,7.17e-07,4.82021999202166
718,7.18e-07,4.81994194966468
719,7.19e-07,4.81966427942697
720,7.2e-07,4.81938698029247
721,7.21e-07,4.81911005124929
722,7.22e-07,4.81883349128969
723,7.23e-07,4.81855729941007
724,7.24e-07,4.81828147461095
725,7.25e-07,4.81800601589694
726,7.26e-07,4.81773092227672
727,7.27e-07,4.81745619276301
728,7.28e-07,4.81718182637257
729,7.29e-07,4.81690782212614
730,7.3e-07,4.81663417904846
731,7.31e-07,4.81636089616823
732,7.32e-07,4.81608797251807
733,7.33e-07,4.81581540713454
734,7.34e-07,4.81554319905808
735,7.35e-07,4.815271347333
736,7.36e-07,4.81499985100748
737,7.37e-07,4.81472870913352
738,7.38e-07,4.81445792076695
739,7.39e-07,4.81418748496737
740,7.4e-07,4.81391740079816
741,7.41e-07,4.81364766732645
742,7.42e-07,4.81337828362311
743,7.43e-07,4.81310924876271
744,7.44e-07,4.81284056182352
745,7.45e-07,4.81257222188747
746,7.46e-07,4.81230422804016
747,7.47e-07,4.8120365793708
748,7.48e-07,4.81176927497224
749,7.49e-07,4.81150231394091
750,7.5e-07,4.81123569537681
751,7.51e-07,4.8109694183835
752,7.52e-07,4.81070348206809
753,7.53e-07,4.81043788554119
754,7.54e-07,4.81017262791692
755,7.55e-07,4.80990770831289
756,7.56e-07,4.80964312585017
757,7.57e-07,4.80937887965326
758,7.58e-07,4.80911496885011
759,7.59e-07,4.80885139257206
760,7.6e-07,4.80858814995385
761,7.61e-07,4.80832524013361
762,7.62e-07,4.8080626622528
763,7.63e-07,4.80780041545624
764,7.64e-07,4.80753849889205
765,7.65e-07,4.80727691171168
766,7.66e-07,4.80701565306985
767,7.67e-07,4.80675472212457
768,7.68e-07,4.80649411803706
769,7.69e-07,4.80623383997183
770,7.7e-07,4.80597388709659
771,7.71e-07,4.80571425858223
772,7.72e-07,4.80545495360286
773,7.73e-07,4.80519597133575
774,7.74e-07,4.80493731096131
775,7.75e-07,4.80467897166311
776,7.76e-07,4.80442095262784
777,7.77e-07,4.80416325304527
778,7.78e-07,4.8039058721083
779,7.79e-07,4.80364880901286
780,7.8e-07,4.80339206295799
781,7.81e-07,4.80313563314573
782,7.82e-07,4.80287951878117
783,7.83e-07,4.8026237190724
784,7.84e-07,4.80236823323053
785,7.85e-07,4.80211306046963
786,7.86e-07,4.80185820000674
787,7.87e-07,4.80160365106187
788,7.88e-07,4.80134941285793
789,7.89e-07,4.8010954846208
790,7.9e-07,4.80084186557924
791,7.91e-07,4.8005885549649
792,7.92e-07,4.80033555201233
793,7.93e-07,4.80008285595891
794,7.94e-07,4.79983046604492
795,7.95e-07,4.79957838151342
796,7.96e-07,4.79932660161034
797,7.97e-07,4.79907512558439
798,7.98e-07,4.79882395268708
799,7.99e-07,4.7985730821727
800,8e-07,4.79832251329831
801,8.01e-07,4.79807224532372
802,8.02e-07,4.79782227751147
803,8.03e-07,4.79757260912684
804,8.04e-07,4.79732323943782
805,8.05e-07,4.79707416771508
806,8.06e-07,4.79682539323199
807,8.07e-07,4.7965769152646
808,8.08e-07,4.79632873309161
809,8.09e-07,4.79608084599435
810,8.1e-07,4.79583325325681
811,8.11e-07,4.79558595416559
812,8.12e-07,4.79533894800988
813,8.13e-07,4.7950922340815
814,8.14e-07,4.79484581167481
815,8.15e-07,4.79459968008677
816,8.16e-07,4.79435383861689
817,8.17e-07,4.79410828656721
818,8.18e-07,4.79386302324231
819,8.19e-07,4.79361804794931
820,8.2e-07,4.79337335999781
821,8.21e-07,4.79312895869991
822,8.22e-07,4.79288484337021
823,8.23e-07,4.79264101332575
824,8.24e-07,4.79239746788607
